1746360623.3112035,-5.15,-0.8,-9.19,-2.78,2.55,-0.23,-4.2,-4.2
1746360623.3175507,-5.14,-0.76,-9.15,-2.95,2.27,-0.95,-4.28,-4.06
1746360623.3245864,-5.15,-0.79,-9.28,1.99,0.32,-0.74,-4.18,-4.17
1746360623.3298213,-5.05,-0.74,-9.07,1.63,4.71,-1.23,-4.05,-3.91
1746360623.334996,-5.12,-0.79,-9.21,-2.83,4.63,-1.26,-4.33,-3.97
1746360623.3390427,-5.09,-0.8,-9.26,-3.67,1.91,-1.99,-4.48,-4.12
1746360623.3452716,-5.13,-0.86,-9.15,-2.64,-0.26,1.48,-4.73,-4.49
1746360623.3495648,-5.04,-0.18,-9.07,-7.82,17.9,-8.4,-2.84,-1.59
1746360623.3536875,-5.0,-0.81,-9.29,-3.61,5.97,-3.35,-3.89,-2.91
1746360623.359051,-5.0,-0.77,-9.29,-3.47,7.72,-3.37,-4.22,-3.23
1746360623.3893878,-4.87,-0.8,-9.27,-2.06,10.01,-2.8,-4.41,-3.3
1746360623.5032113,-4.89,-0.87,-9.31,-3.85,-0.2,-0.65,-4.8,-4.03
1746360623.6136346,-4.94,-0.9,-9.36,-3.79,1.42,-1.11,-5.05,-4.33
1746360623.7245517,-4.92,-0.84,-9.24,-6.76,-1.96,-3.93,-5.25,-4.56
1746360623.835323,-4.92,-0.86,-9.31,-4.76,3.67,-3.72,-5.32,-4.36
1746360623.9457915,-4.96,-0.82,-9.3,-3.21,5.0,-1.98,-5.2,-4.06
1746360624.0569623,-4.98,-0.76,-9.24,-4.08,-1.55,-0.55,-5.11,-4.19
1746360624.1672478,-4.91,-0.77,-9.12,-3.19,4.71,-2.2,-5.05,-3.87
1746360624.27765,-4.92,-0.78,-9.37,-3.95,0.28,-1.0,-5.08,-3.95
1746360624.387862,-5.02,-0.84,-9.54,-4.02,3.16,-2.34,-5.21,-3.86
1746360624.5033038,-4.97,-0.71,-9.19,-5.65,-4.32,-2.6,-5.28,-4.21
1746360624.6131203,-5.27,-0.79,-8.99,1.8,-4.02,9.35,-4.88,-4.58
1746360624.7236867,-5.39,-0.48,-9.72,2.29,20.26,-3.63,-4.09,-2.38
1746360624.834967,-5.01,-0.77,-9.08,-3.95,3.08,-1.82,-4.46,-2.58
1746360624.9454587,-5.01,-0.77,-9.27,-2.89,7.02,-2.68,-4.65,-2.34
1746360625.055582,-5.06,-0.76,-9.26,-4.38,0.11,-3.85,-4.91,-2.71
1746360625.1705484,-5.14,-0.81,-9.2,-3.24,2.46,-1.35,-5.08,-2.85
1746360625.280682,-5.07,-0.35,-9.07,2.02,11.79,10.6,-4.27,-1.62
1746360625.3914022,-5.07,-0.78,-9.31,-2.78,6.2,-1.95,-4.51,-1.58
1746360625.5017295,-5.01,-0.75,-9.28,-3.76,7.27,-4.06,-4.77,-1.4
1746360625.6123986,-5.01,-0.84,-9.4,-2.63,9.15,-3.01,-4.96,-1.14
1746360625.7230337,-4.9,-0.8,-9.3,-3.4,3.38,-1.66,-5.16,-1.4
1746360625.8338404,-4.96,-0.73,-9.25,-3.49,2.4,-1.21,-5.27,-1.63
1746360625.9440439,-5.0,-0.72,-9.38,-3.68,1.68,-1.18,-5.37,-1.86
1746360626.0556002,-5.03,-0.83,-9.28,-3.66,2.78,-1.16,-5.56,-2.05
1746360626.1659758,-5.0,-0.81,-9.33,-3.04,4.36,-1.6,-5.64,-2.03
1746360626.2766852,-5.02,-0.82,-9.26,-3.6,1.84,-1.14,-5.79,-2.26
1746360626.395873,-5.01,-0.79,-9.3,-3.41,2.6,-1.11,-5.86,-2.35
1746360626.4969547,-4.93,-0.86,-9.37,-3.38,2.72,-1.18,-5.98,-2.47
1746360626.6079454,-5.01,-0.8,-9.27,-3.53,2.25,-1.12,-6.05,-2.55
1746360626.7185793,-4.99,-0.81,-9.33,-3.67,1.09,-0.79,-6.13,-2.74
1746360626.8293846,-5.04,-0.51,-9.26,8.11,12.94,9.63,-4.85,-1.55
1746360626.9402666,-4.96,-0.83,-9.26,-4.18,-0.92,-0.78,-5.18,-2.1
1746360627.0543659,-4.99,-0.81,-9.2,-4.82,1.28,-2.73,-5.53,-2.34
1746360627.1650465,-5.02,-0.73,-9.24,-3.75,2.12,-1.79,-5.63,-2.4
1746360627.2752936,-5.0,-0.8,-9.31,-3.28,4.2,-1.31,-5.74,-2.31
1746360627.3860793,-4.92,-1.01,-9.15,3.25,10.36,5.85,-5.4,-1.84
1746360627.496623,-5.03,-1.24,-9.06,0.44,10.29,-6.18,-5.58,-1.67
1746360627.6072445,-4.7,-0.84,-9.48,-1.89,11.26,-3.4,-5.6,-1.06
1746360627.7178445,-4.73,-0.81,-9.52,-2.69,6.95,-2.41,-5.66,-0.92
1746360627.828414,-4.68,-0.81,-9.51,-4.02,1.93,-1.5,-5.83,-1.28
1746360627.9395745,-4.6,-0.93,-9.56,-2.48,7.33,-1.99,-5.93,-1.17
1746360628.050027,-4.52,-0.92,-9.61,-5.3,7.74,-0.3,-6.27,-1.04
1746360628.1604538,-4.55,-0.97,-9.55,-2.83,3.11,-1.16,-6.37,-1.41
1746360628.2756312,-4.5,-1.01,-9.66,-4.04,-1.01,-0.61,-6.6,-2.13
1746360628.381951,-4.49,-0.95,-9.69,-3.35,3.74,-1.34,-6.67,-2.24
1746360628.492502,-4.41,-0.95,-9.64,-3.07,2.65,0.39,-6.72,-2.45
